HWO UVI temporary performance curves (v1 - July 2024; Kevin France, UV SDS) - G120M MOS - EAC1 telescope estimate - MCP detector
Wavelength    Read Noise      Sky           Dark          A_Eff        BEF           Disp_Width    XDisp_Width
(Angstroms) (Cnt/Exposure) (Cnt/s/res)   (Cnt/s/res)      (cm^2)  (Erg/cm^2/s/res)   (N_resels)     (N_resels)
      950.000, 0.0, 5.35E-09,  5.00E-06,  5.251E+01,  1.993E-18,  3.1,  3.1
      951.000, 0.0, 5.98E-09,  5.00E-06,  5.841E+01,  1.790E-18,  3.1,  3.1
      952.000, 0.0, 6.67E-09,  5.00E-06,  6.484E+01,  1.611E-18,  3.1,  3.1
      953.000, 0.0, 7.42E-09,  5.00E-06,  7.183E+01,  1.453E-18,  3.1,  3.1
      954.000, 0.0, 8.25E-09,  5.00E-06,  7.942E+01,  1.313E-18,  3.1,  3.1
      955.000, 0.0, 9.31E-09,  5.00E-06,  8.921E+01,  1.167E-18,  3.1,  3.1
      956.000, 0.0, 1.05E-08,  5.00E-06,  1.005E+02,  1.035E-18,  3.1,  3.1
      957.000, 0.0, 1.19E-08,  5.00E-06,  1.130E+02,  9.202E-19,  3.1,  3.1
      958.000, 0.0, 1.34E-08,  5.00E-06,  1.267E+02,  8.201E-19,  3.1,  3.1
      959.000, 0.0, 1.51E-08,  5.00E-06,  1.417E+02,  7.327E-19,  3.1,  3.1
      960.000, 0.0, 1.70E-08,  5.00E-06,  1.590E+02,  6.523E-19,  3.1,  3.1
      961.000, 0.0, 1.92E-08,  5.00E-06,  1.783E+02,  5.816E-19,  3.1,  3.1
      962.000, 0.0, 2.15E-08,  5.00E-06,  1.993E+02,  5.197E-19,  3.1,  3.1
      963.000, 0.0, 2.41E-08,  5.00E-06,  2.224E+02,  4.656E-19,  3.1,  3.1
      964.000, 0.0, 2.70E-08,  5.00E-06,  2.475E+02,  4.180E-19,  3.1,  3.1
      965.000, 0.0, 2.95E-08,  5.00E-06,  2.694E+02,  3.838E-19,  3.1,  3.1
      966.000, 0.0, 3.22E-08,  5.00E-06,  2.926E+02,  3.532E-19,  3.1,  3.1
      967.000, 0.0, 3.52E-08,  5.00E-06,  3.173E+02,  3.255E-19,  3.1,  3.1
      968.000, 0.0, 3.83E-08,  5.00E-06,  3.437E+02,  3.003E-19,  3.1,  3.1
      969.000, 0.0, 4.16E-08,  5.00E-06,  3.719E+02,  2.774E-19,  3.1,  3.1
      970.000, 0.0, 4.52E-08,  5.00E-06,  4.019E+02,  2.566E-19,  3.1,  3.1
      971.000, 0.0, 4.91E-08,  5.00E-06,  4.339E+02,  2.376E-19,  3.1,  3.1
      972.000, 0.0, 5.32E-08,  5.00E-06,  4.679E+02,  2.202E-19,  3.1,  3.1
      973.000, 0.0, 5.79E-08,  5.00E-06,  5.067E+02,  2.033E-19,  3.1,  3.1
      974.000, 0.0, 6.30E-08,  5.00E-06,  5.489E+02,  1.876E-19,  3.1,  3.1
      975.000, 0.0, 6.86E-08,  5.00E-06,  5.940E+02,  1.734E-19,  3.1,  3.1
      976.000, 0.0, 7.45E-08,  5.00E-06,  6.420E+02,  1.604E-19,  3.1,  3.1
      977.000, 0.0, 8.08E-08,  5.00E-06,  6.931E+02,  1.486E-19,  3.1,  3.1
      978.000, 0.0, 8.76E-08,  5.00E-06,  7.474E+02,  1.378E-19,  3.1,  3.1
      979.000, 0.0, 9.49E-08,  5.00E-06,  8.053E+02,  1.279E-19,  3.1,  3.1
      980.000, 0.0, 1.03E-07,  5.00E-06,  8.667E+02,  1.189E-19,  3.1,  3.1
      981.000, 0.0, 1.12E-07,  5.00E-06,  9.416E+02,  1.095E-19,  3.1,  3.1
      982.000, 0.0, 1.23E-07,  5.00E-06,  1.029E+03,  1.003E-19,  3.1,  3.1
      983.000, 0.0, 1.35E-07,  5.00E-06,  1.122E+03,  9.203E-20,  3.1,  3.1
      984.000, 0.0, 1.48E-07,  5.00E-06,  1.222E+03,  8.458E-20,  3.1,  3.1
      985.000, 0.0, 1.62E-07,  5.00E-06,  1.329E+03,  7.785E-20,  3.1,  3.1
      986.000, 0.0, 1.77E-07,  5.00E-06,  1.444E+03,  7.176E-20,  3.1,  3.1
      987.000, 0.0, 1.93E-07,  5.00E-06,  1.569E+03,  6.616E-20,  3.1,  3.1
      988.000, 0.0, 2.14E-07,  5.00E-06,  1.728E+03,  6.019E-20,  3.1,  3.1
      989.000, 0.0, 2.36E-07,  5.00E-06,  1.901E+03,  5.486E-20,  3.1,  3.1
      990.000, 0.0, 2.61E-07,  5.00E-06,  2.087E+03,  5.011E-20,  3.1,  3.1
      991.000, 0.0, 2.87E-07,  5.00E-06,  2.288E+03,  4.587E-20,  3.1,  3.1
      992.000, 0.0, 3.19E-07,  5.00E-06,  2.522E+03,  4.177E-20,  3.1,  3.1
      993.000, 0.0, 3.65E-07,  5.00E-06,  2.873E+03,  3.689E-20,  3.1,  3.1
      994.000, 0.0, 4.17E-07,  5.00E-06,  3.264E+03,  3.270E-20,  3.1,  3.1
      995.000, 0.0, 4.75E-07,  5.00E-06,  3.696E+03,  2.911E-20,  3.1,  3.1
      996.000, 0.0, 5.44E-07,  5.00E-06,  4.209E+03,  2.580E-20,  3.1,  3.1
      997.000, 0.0, 6.21E-07,  5.00E-06,  4.782E+03,  2.296E-20,  3.1,  3.1
      998.000, 0.0, 7.07E-07,  5.00E-06,  5.416E+03,  2.051E-20,  3.1,  3.1
      999.000, 0.0, 8.03E-07,  5.00E-06,  6.117E+03,  1.840E-20,  3.1,  3.1
      1000.00, 0.0, 9.10E-07,  5.00E-06,  6.890E+03,  1.657E-20,  3.1,  3.1
      1001.00, 0.0, 9.75E-07,  5.00E-06,  7.339E+03,  1.569E-20,  3.1,  3.1
      1002.00, 0.0, 1.04E-06,  5.00E-06,  7.756E+03,  1.496E-20,  3.1,  3.1
      1003.00, 0.0, 1.09E-06,  5.00E-06,  8.091E+03,  1.444E-20,  3.1,  3.1
      1004.00, 0.0, 1.14E-06,  5.00E-06,  8.437E+03,  1.393E-20,  3.1,  3.1
      1005.00, 0.0, 1.20E-06,  5.00E-06,  8.796E+03,  1.346E-20,  3.1,  3.1
      1006.00, 0.0, 1.25E-06,  5.00E-06,  9.167E+03,  1.300E-20,  3.1,  3.1
      1007.00, 0.0, 1.31E-06,  5.00E-06,  9.550E+03,  1.257E-20,  3.1,  3.1
      1008.00, 0.0, 1.38E-06,  5.00E-06,  9.947E+03,  1.217E-20,  3.1,  3.1
      1009.00, 0.0, 1.44E-06,  5.00E-06,  1.036E+04,  1.178E-20,  3.1,  3.1
      1010.00, 0.0, 1.50E-06,  5.00E-06,  1.075E+04,  1.144E-20,  3.1,  3.1
      1011.00, 0.0, 1.55E-06,  5.00E-06,  1.100E+04,  1.123E-20,  3.1,  3.1
      1012.00, 0.0, 1.59E-06,  5.00E-06,  1.126E+04,  1.103E-20,  3.1,  3.1
      1013.00, 0.0, 1.64E-06,  5.00E-06,  1.152E+04,  1.084E-20,  3.1,  3.1
      1014.00, 0.0, 1.69E-06,  5.00E-06,  1.178E+04,  1.065E-20,  3.1,  3.1
      1015.00, 0.0, 1.74E-06,  5.00E-06,  1.206E+04,  1.047E-20,  3.1,  3.1
      1016.00, 0.0, 1.79E-06,  5.00E-06,  1.233E+04,  1.029E-20,  3.1,  3.1
      1017.00, 0.0, 1.84E-06,  5.00E-06,  1.262E+04,  1.012E-20,  3.1,  3.1
      1018.00, 0.0, 1.89E-06,  5.00E-06,  1.290E+04,  9.961E-21,  3.1,  3.1
      1019.00, 0.0, 1.92E-06,  5.00E-06,  1.298E+04,  9.920E-21,  3.1,  3.1
      1020.00, 0.0, 1.94E-06,  5.00E-06,  1.306E+04,  9.881E-21,  3.1,  3.1
      1021.00, 0.0, 1.96E-06,  5.00E-06,  1.315E+04,  9.842E-21,  3.1,  3.1
      1022.00, 0.0, 1.99E-06,  5.00E-06,  1.323E+04,  9.803E-21,  3.1,  3.1
      1023.00, 0.0, 2.01E-06,  5.00E-06,  1.331E+04,  9.766E-21,  3.1,  3.1
      1024.00, 0.0, 2.04E-06,  5.00E-06,  1.339E+04,  9.728E-21,  3.1,  3.1
      1025.00, 0.0, 2.06E-06,  5.00E-06,  1.348E+04,  9.692E-21,  3.1,  3.1
      1026.00, 0.0, 2.09E-06,  5.00E-06,  1.356E+04,  9.656E-21,  3.1,  3.1
      1027.00, 0.0, 2.12E-06,  5.00E-06,  1.365E+04,  9.619E-21,  3.1,  3.1
      1028.00, 0.0, 2.14E-06,  5.00E-06,  1.374E+04,  9.583E-21,  3.1,  3.1
      1029.00, 0.0, 2.17E-06,  5.00E-06,  1.383E+04,  9.547E-21,  3.1,  3.1
      1030.00, 0.0, 2.20E-06,  5.00E-06,  1.392E+04,  9.511E-21,  3.1,  3.1
      1031.00, 0.0, 2.23E-06,  5.00E-06,  1.401E+04,  9.477E-21,  3.1,  3.1
      1032.00, 0.0, 2.26E-06,  5.00E-06,  1.410E+04,  9.443E-21,  3.1,  3.1
      1033.00, 0.0, 2.29E-06,  5.00E-06,  1.419E+04,  9.409E-21,  3.1,  3.1
      1034.00, 0.0, 2.32E-06,  5.00E-06,  1.428E+04,  9.377E-21,  3.1,  3.1
      1035.00, 0.0, 2.35E-06,  5.00E-06,  1.437E+04,  9.345E-21,  3.1,  3.1
      1036.00, 0.0, 2.38E-06,  5.00E-06,  1.446E+04,  9.313E-21,  3.1,  3.1
      1037.00, 0.0, 2.41E-06,  5.00E-06,  1.455E+04,  9.282E-21,  3.1,  3.1
      1038.00, 0.0, 2.45E-06,  5.00E-06,  1.470E+04,  9.230E-21,  3.1,  3.1
      1039.00, 0.0, 2.50E-06,  5.00E-06,  1.491E+04,  9.149E-21,  3.1,  3.1
      1040.00, 0.0, 2.55E-06,  5.00E-06,  1.513E+04,  9.070E-21,  3.1,  3.1
      1041.00, 0.0, 2.61E-06,  5.00E-06,  1.534E+04,  8.993E-21,  3.1,  3.1
      1042.00, 0.0, 2.66E-06,  5.00E-06,  1.556E+04,  8.917E-21,  3.1,  3.1
      1043.00, 0.0, 2.72E-06,  5.00E-06,  1.579E+04,  8.844E-21,  3.1,  3.1
      1044.00, 0.0, 2.77E-06,  5.00E-06,  1.601E+04,  8.772E-21,  3.1,  3.1
      1045.00, 0.0, 2.83E-06,  5.00E-06,  1.624E+04,  8.702E-21,  3.1,  3.1
      1046.00, 0.0, 2.89E-06,  5.00E-06,  1.647E+04,  8.634E-21,  3.1,  3.1
      1047.00, 0.0, 2.95E-06,  5.00E-06,  1.671E+04,  8.568E-21,  3.1,  3.1
      1048.00, 0.0, 3.00E-06,  5.00E-06,  1.685E+04,  8.534E-21,  3.1,  3.1
      1049.00, 0.0, 3.04E-06,  5.00E-06,  1.693E+04,  8.521E-21,  3.1,  3.1
      1050.00, 0.0, 3.07E-06,  5.00E-06,  1.702E+04,  8.509E-21,  3.1,  3.1
      1051.00, 0.0, 3.11E-06,  5.00E-06,  1.710E+04,  8.497E-21,  3.1,  3.1
      1052.00, 0.0, 3.15E-06,  5.00E-06,  1.719E+04,  8.485E-21,  3.1,  3.1
      1053.00, 0.0, 3.19E-06,  5.00E-06,  1.727E+04,  8.474E-21,  3.1,  3.1
      1054.00, 0.0, 3.22E-06,  5.00E-06,  1.736E+04,  8.464E-21,  3.1,  3.1
      1055.00, 0.0, 3.26E-06,  5.00E-06,  1.744E+04,  8.454E-21,  3.1,  3.1
      1056.00, 0.0, 3.30E-06,  5.00E-06,  1.753E+04,  8.445E-21,  3.1,  3.1
      1057.00, 0.0, 3.34E-06,  5.00E-06,  1.761E+04,  8.436E-21,  3.1,  3.1
      1058.00, 0.0, 3.38E-06,  5.00E-06,  1.770E+04,  8.427E-21,  3.1,  3.1
      1059.00, 0.0, 3.43E-06,  5.00E-06,  1.781E+04,  8.412E-21,  3.1,  3.1
      1060.00, 0.0, 3.50E-06,  5.00E-06,  1.803E+04,  8.366E-21,  3.1,  3.1
      1061.00, 0.0, 3.57E-06,  5.00E-06,  1.825E+04,  8.322E-21,  3.1,  3.1
      1062.00, 0.0, 3.64E-06,  5.00E-06,  1.848E+04,  8.278E-21,  3.1,  3.1
      1063.00, 0.0, 3.71E-06,  5.00E-06,  1.871E+04,  8.236E-21,  3.1,  3.1
      1064.00, 0.0, 3.78E-06,  5.00E-06,  1.893E+04,  8.196E-21,  3.1,  3.1
      1065.00, 0.0, 3.86E-06,  5.00E-06,  1.917E+04,  8.156E-21,  3.1,  3.1
      1066.00, 0.0, 3.94E-06,  5.00E-06,  1.940E+04,  8.118E-21,  3.1,  3.1
      1067.00, 0.0, 4.01E-06,  5.00E-06,  1.964E+04,  8.081E-21,  3.1,  3.1
      1068.00, 0.0, 4.09E-06,  5.00E-06,  1.987E+04,  8.046E-21,  3.1,  3.1
      1069.00, 0.0, 4.18E-06,  5.00E-06,  2.012E+04,  8.012E-21,  3.1,  3.1
      1070.00, 0.0, 4.26E-06,  5.00E-06,  2.036E+04,  7.979E-21,  3.1,  3.1
      1071.00, 0.0, 4.35E-06,  5.00E-06,  2.062E+04,  7.944E-21,  3.1,  3.1
      1072.00, 0.0, 4.44E-06,  5.00E-06,  2.089E+04,  7.909E-21,  3.1,  3.1
      1073.00, 0.0, 4.53E-06,  5.00E-06,  2.116E+04,  7.876E-21,  3.1,  3.1
      1074.00, 0.0, 4.63E-06,  5.00E-06,  2.143E+04,  7.844E-21,  3.1,  3.1
      1075.00, 0.0, 4.73E-06,  5.00E-06,  2.171E+04,  7.814E-21,  3.1,  3.1
      1076.00, 0.0, 4.83E-06,  5.00E-06,  2.199E+04,  7.785E-21,  3.1,  3.1
      1077.00, 0.0, 4.93E-06,  5.00E-06,  2.227E+04,  7.757E-21,  3.1,  3.1
      1078.00, 0.0, 5.03E-06,  5.00E-06,  2.255E+04,  7.731E-21,  3.1,  3.1
      1079.00, 0.0, 5.14E-06,  5.00E-06,  2.284E+04,  7.705E-21,  3.1,  3.1
      1080.00, 0.0, 5.25E-06,  5.00E-06,  2.313E+04,  7.681E-21,  3.1,  3.1
      1081.00, 0.0, 5.36E-06,  5.00E-06,  2.343E+04,  7.659E-21,  3.1,  3.1
      1082.00, 0.0, 5.47E-06,  5.00E-06,  2.372E+04,  7.638E-21,  3.1,  3.1
      1083.00, 0.0, 5.59E-06,  5.00E-06,  2.402E+04,  7.618E-21,  3.1,  3.1
      1084.00, 0.0, 5.69E-06,  5.00E-06,  2.428E+04,  7.606E-21,  3.1,  3.1
      1085.00, 0.0, 5.80E-06,  5.00E-06,  2.451E+04,  7.600E-21,  3.1,  3.1
      1086.00, 0.0, 5.90E-06,  5.00E-06,  2.475E+04,  7.594E-21,  3.1,  3.1
      1087.00, 0.0, 6.01E-06,  5.00E-06,  2.499E+04,  7.590E-21,  3.1,  3.1
      1088.00, 0.0, 6.12E-06,  5.00E-06,  2.522E+04,  7.586E-21,  3.1,  3.1
      1089.00, 0.0, 6.24E-06,  5.00E-06,  2.547E+04,  7.584E-21,  3.1,  3.1
      1090.00, 0.0, 6.35E-06,  5.00E-06,  2.571E+04,  7.582E-21,  3.1,  3.1
      1091.00, 0.0, 6.47E-06,  5.00E-06,  2.595E+04,  7.581E-21,  3.1,  3.1
      1092.00, 0.0, 6.59E-06,  5.00E-06,  2.620E+04,  7.582E-21,  3.1,  3.1
      1093.00, 0.0, 6.71E-06,  5.00E-06,  2.645E+04,  7.583E-21,  3.1,  3.1
      1094.00, 0.0, 6.84E-06,  5.00E-06,  2.670E+04,  7.586E-21,  3.1,  3.1
      1095.00, 0.0, 6.97E-06,  5.00E-06,  2.695E+04,  7.590E-21,  3.1,  3.1
      1096.00, 0.0, 7.10E-06,  5.00E-06,  2.721E+04,  7.594E-21,  3.1,  3.1
      1097.00, 0.0, 7.23E-06,  5.00E-06,  2.746E+04,  7.600E-21,  3.1,  3.1
      1098.00, 0.0, 7.37E-06,  5.00E-06,  2.772E+04,  7.607E-21,  3.1,  3.1
      1099.00, 0.0, 7.50E-06,  5.00E-06,  2.796E+04,  7.617E-21,  3.1,  3.1
      1100.00, 0.0, 7.64E-06,  5.00E-06,  2.821E+04,  7.628E-21,  3.1,  3.1
      1101.00, 0.0, 7.78E-06,  5.00E-06,  2.845E+04,  7.640E-21,  3.1,  3.1
      1102.00, 0.0, 7.93E-06,  5.00E-06,  2.870E+04,  7.654E-21,  3.1,  3.1
      1103.00, 0.0, 8.07E-06,  5.00E-06,  2.894E+04,  7.668E-21,  3.1,  3.1
      1104.00, 0.0, 8.22E-06,  5.00E-06,  2.919E+04,  7.684E-21,  3.1,  3.1
      1105.00, 0.0, 8.38E-06,  5.00E-06,  2.945E+04,  7.701E-21,  3.1,  3.1
      1106.00, 0.0, 8.53E-06,  5.00E-06,  2.970E+04,  7.718E-21,  3.1,  3.1
      1107.00, 0.0, 8.69E-06,  5.00E-06,  2.995E+04,  7.738E-21,  3.1,  3.1
      1108.00, 0.0, 8.86E-06,  5.00E-06,  3.021E+04,  7.758E-21,  3.1,  3.1
      1109.00, 0.0, 9.02E-06,  5.00E-06,  3.047E+04,  7.779E-21,  3.1,  3.1
      1110.00, 0.0, 9.20E-06,  5.00E-06,  3.073E+04,  7.802E-21,  3.1,  3.1
      1111.00, 0.0, 9.37E-06,  5.00E-06,  3.099E+04,  7.826E-21,  3.1,  3.1
      1112.00, 0.0, 9.55E-06,  5.00E-06,  3.125E+04,  7.851E-21,  3.1,  3.1
      1113.00, 0.0, 9.73E-06,  5.00E-06,  3.152E+04,  7.878E-21,  3.1,  3.1
      1114.00, 0.0, 9.92E-06,  5.00E-06,  3.179E+04,  7.905E-21,  3.1,  3.1
      1115.00, 0.0, 1.01E-05,  5.00E-06,  3.201E+04,  7.939E-21,  3.1,  3.1
      1116.00, 0.0, 1.03E-05,  5.00E-06,  3.220E+04,  7.976E-21,  3.1,  3.1
      1117.00, 0.0, 1.04E-05,  5.00E-06,  3.240E+04,  8.014E-21,  3.1,  3.1
      1118.00, 0.0, 1.06E-05,  5.00E-06,  3.260E+04,  8.054E-21,  3.1,  3.1
      1119.00, 0.0, 1.08E-05,  5.00E-06,  3.279E+04,  8.095E-21,  3.1,  3.1
      1120.00, 0.0, 1.10E-05,  5.00E-06,  3.299E+04,  8.138E-21,  3.1,  3.1
      1121.00, 0.0, 1.12E-05,  5.00E-06,  3.319E+04,  8.182E-21,  3.1,  3.1
      1122.00, 0.0, 1.14E-05,  5.00E-06,  3.339E+04,  8.227E-21,  3.1,  3.1
      1123.00, 0.0, 1.16E-05,  5.00E-06,  3.359E+04,  8.274E-21,  3.1,  3.1
      1124.00, 0.0, 1.18E-05,  5.00E-06,  3.380E+04,  8.322E-21,  3.1,  3.1
      1125.00, 0.0, 1.20E-05,  5.00E-06,  3.400E+04,  8.373E-21,  3.1,  3.1
      1126.00, 0.0, 1.22E-05,  5.00E-06,  3.420E+04,  8.424E-21,  3.1,  3.1
      1127.00, 0.0, 1.25E-05,  5.00E-06,  3.441E+04,  8.478E-21,  3.1,  3.1
      1128.00, 0.0, 1.27E-05,  5.00E-06,  3.462E+04,  8.533E-21,  3.1,  3.1
      1129.00, 0.0, 1.29E-05,  5.00E-06,  3.482E+04,  8.590E-21,  3.1,  3.1
      1130.00, 0.0, 1.32E-05,  5.00E-06,  3.503E+04,  8.649E-21,  3.1,  3.1
      1131.00, 0.0, 1.34E-05,  5.00E-06,  3.524E+04,  8.710E-21,  3.1,  3.1
      1132.00, 0.0, 1.37E-05,  5.00E-06,  3.545E+04,  8.773E-21,  3.1,  3.1
      1133.00, 0.0, 1.39E-05,  5.00E-06,  3.566E+04,  8.838E-21,  3.1,  3.1
      1134.00, 0.0, 1.42E-05,  5.00E-06,  3.587E+04,  8.905E-21,  3.1,  3.1
      1135.00, 0.0, 1.44E-05,  5.00E-06,  3.586E+04,  8.990E-21,  3.1,  3.1
      1136.00, 0.0, 1.46E-05,  5.00E-06,  3.585E+04,  9.076E-21,  3.1,  3.1
      1137.00, 0.0, 1.48E-05,  5.00E-06,  3.584E+04,  9.165E-21,  3.1,  3.1
      1138.00, 0.0, 1.50E-05,  5.00E-06,  3.582E+04,  9.257E-21,  3.1,  3.1
      1139.00, 0.0, 1.51E-05,  5.00E-06,  3.579E+04,  9.352E-21,  3.1,  3.1
      1140.00, 0.0, 1.53E-05,  5.00E-06,  3.576E+04,  9.450E-21,  3.1,  3.1
      1141.00, 0.0, 1.56E-05,  5.00E-06,  3.573E+04,  9.550E-21,  3.1,  3.1
      1142.00, 0.0, 1.58E-05,  5.00E-06,  3.570E+04,  9.652E-21,  3.1,  3.1
      1143.00, 0.0, 1.60E-05,  5.00E-06,  3.567E+04,  9.758E-21,  3.1,  3.1
      1144.00, 0.0, 1.62E-05,  5.00E-06,  3.564E+04,  9.867E-21,  3.1,  3.1
      1145.00, 0.0, 1.64E-05,  5.00E-06,  3.560E+04,  9.979E-21,  3.1,  3.1
      1146.00, 0.0, 1.67E-05,  5.00E-06,  3.557E+04,  1.009E-20,  3.1,  3.1
      1147.00, 0.0, 1.69E-05,  5.00E-06,  3.553E+04,  1.021E-20,  3.1,  3.1
      1148.00, 0.0, 1.72E-05,  5.00E-06,  3.550E+04,  1.033E-20,  3.1,  3.1
      1149.00, 0.0, 1.74E-05,  5.00E-06,  3.546E+04,  1.046E-20,  3.1,  3.1
      1150.00, 0.0, 1.77E-05,  5.00E-06,  3.543E+04,  1.059E-20,  3.1,  3.1
      1151.00, 0.0, 1.79E-05,  5.00E-06,  3.539E+04,  1.072E-20,  3.1,  3.1
      1152.00, 0.0, 1.82E-05,  5.00E-06,  3.536E+04,  1.086E-20,  3.1,  3.1
      1153.00, 0.0, 1.86E-05,  5.00E-06,  3.543E+04,  1.100E-20,  3.1,  3.1
      1154.00, 0.0, 1.89E-05,  5.00E-06,  3.551E+04,  1.113E-20,  3.1,  3.1
      1155.00, 0.0, 1.93E-05,  5.00E-06,  3.559E+04,  1.128E-20,  3.1,  3.1
      1156.00, 0.0, 1.97E-05,  5.00E-06,  3.566E+04,  1.143E-20,  3.1,  3.1
      1157.00, 0.0, 2.01E-05,  5.00E-06,  3.574E+04,  1.158E-20,  3.1,  3.1
      1158.00, 0.0, 2.05E-05,  5.00E-06,  3.581E+04,  1.174E-20,  3.1,  3.1
      1159.00, 0.0, 2.09E-05,  5.00E-06,  3.588E+04,  1.191E-20,  3.1,  3.1
      1160.00, 0.0, 2.13E-05,  5.00E-06,  3.596E+04,  1.208E-20,  3.1,  3.1
      1161.00, 0.0, 2.18E-05,  5.00E-06,  3.603E+04,  1.226E-20,  3.1,  3.1
      1162.00, 0.0, 2.23E-05,  5.00E-06,  3.610E+04,  1.245E-20,  3.1,  3.1
